time UTC,u_10,v_10
31/01/2018 4:30,-3.75,3.125
31/01/2018 5:30,-3.375,3.625
31/01/2018 6:30,-1.75,4.875
31/01/2018 7:30,-1.125,5.875
31/01/2018 8:30,-1.125,6.25
31/01/2018 9:30,-0.5,5.75
31/01/2018 10:30,-1.875,4.625
31/01/2018 11:30,-4.375,3
31/01/2018 12:30,-3.5,3.375
31/01/2018 13:30,-3.625,3.5
31/01/2018 14:30,-3.375,3.5
31/01/2018 15:30,-3.625,3.75
31/01/2018 16:30,-3.625,3.25
31/01/2018 17:30,-3.375,3
31/01/2018 18:30,-2.625,2.5
31/01/2018 19:30,-2.5,2.125
31/01/2018 20:30,-3,2.375
31/01/2018 21:30,-3.75,3.5
31/01/2018 22:30,-3.125,4.125
31/01/2018 23:30,-2.5,4.25
